controlled_time_s,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_time_s,open_vc1_v,open_vc2_v,open_il_a
0.0276808610949086,10.8308498834651,19.2928,0.931520480553202,0.0276808610949086,7.87236749818023,19.9984691665534,0.935967594607338
0.0276816000978863,10.8136389427475,19.2928,0.931631810021819,0.0276816000978863,7.85507644619948,19.9984691665534,0.93585708391085
0.027682339100864,10.7964259577162,19.2928,0.931741785748553,0.027682339100864,7.83778744695833,19.9984691665534,0.935745377585769
0.0276830781038417,10.7792109533739,19.2928,0.931850408583359,0.0276830781038417,7.82050052253655,19.9984691665534,0.9356324766678
0.0276838171068194,10.7619939547074,19.2928,0.931957679377408,0.0276838171068194,7.80321569499475,19.9984691665534,0.935518382193511
0.027684556109797,10.7447749866881,19.2928,0.93206359898309,0.027684556109797,7.78593298637439,19.9984691665534,0.935403095200337
0.0276852951127747,10.7275540742712,19.2928,0.932168168254009,0.0276852951127747,7.76865241869776,19.9984691665534,0.935286616726572
0.0276860341157524,10.7103312423964,19.2928,0.932271388044978,0.0276860341157524,7.75137401396794,19.9984691665534,0.935168947811368
0.0276867731187301,10.6931065159876,19.2928,0.932373259212026,0.0276867731187301,7.73409779416884,19.9984691665534,0.935050089494736
0.0276875121217078,10.6758799199527,19.2928,0.932473782612385,0.0276875121217078,7.71682378126511,19.9984691665534,0.934930042817542
0.0276882511246855,10.658651479184,19.2928,0.932572959104497,0.0276882511246855,7.69955199720219,19.9984691665534,0.934808808821503
0.0276889901276632,10.6414212185577,19.2928,0.932670789548006,0.0276889901276632,7.68228246390625,19.9984691665534,0.93468638854919
0.0276897291306409,10.6241891629342,19.2928,0.932767274803758,0.0276897291306409,7.66501520328419,19.9984691665534,0.934562783044019
0.0276904681336185,10.6069553371581,19.2928,0.9328624157338,0.0276904681336185,7.64775023722364,19.9984691665534,0.934437993350257
0.0276912071365962,10.5897197660578,19.2928,0.932956213201377,0.0276912071365962,7.6304875875929,19.9984691665534,0.934312020513013
0.0276919461395739,10.5724824744459,19.2928,0.933048668070929,0.0276919461395739,7.613227276241,19.9984691665534,0.934184865578239
0.0276926851425516,10.555243487119,19.2928,0.93313978120809,0.0276926851425516,7.59596932499759,19.9984691665534,0.934056529592729
0.0276934241455293,10.5380028288578,19.2928,0.933229553479686,0.0276934241455293,7.57871375567301,19.9984691665534,0.933927013604114
0.027694163148507,10.5207605244269,19.2928,0.933317985753733,0.027694163148507,7.5614605900582,19.9984691665534,0.933796318660862
0.0276949021514847,10.5035165985746,19.2928,0.933405078899434,0.0276949021514847,7.54420984992477,19.9984691665534,0.933664445812276
0.0276956411544624,10.4862710760336,19.2928,0.933490833787177,0.0276956411544624,7.52696155702489,19.9984691665534,0.933531396108492
0.0276963801574401,10.4690239815201,19.2928,0.933575251288534,0.0276963801574401,7.50971573309134,19.9984691665534,0.933397170600475
0.0276971617383531,10.4690239815201,19.2928,0.935189698437634,0.0276971617383531,7.50971573309134,19.9984691665534,0.935011756879664
0.0276979433192661,10.4690239815201,19.2928,0.936802884258637,0.0276979433192661,7.50971573309134,19.9984691665534,0.936625081722056
0.0276987249001792,10.4690239815201,19.2928,0.938414809736986,0.0276987249001792,7.50971573309134,19.9984691665534,0.938237146113182
0.0276995064810922,10.4690239815201,19.2928,0.940025475857358,0.0276995064810922,7.50971573309134,19.9984691665534,0.9398479510378
0.0277002880620052,10.4690239815201,19.2928,0.941634883603657,0.0277002880620052,7.50971573309134,19.9984691665534,0.941457497479902
0.0277010696429183,10.4690239815201,19.2928,0.943243033959021,0.0277010696429183,7.50971573309134,19.9984691665534,0.943065786422708
0.0277018512238313,10.4690239815201,19.2928,0.944849927905818,0.0277018512238313,7.50971573309134,19.9984691665534,0.944672818848674
0.0277026328047444,10.4690239815201,19.2928,0.94645556642565,0.0277026328047444,7.50971573309134,19.9984691665534,0.946278595739483
0.0277034143856574,10.4690239815201,19.2928,0.948059950499351,0.0277034143856574,7.50971573309134,19.9984691665534,0.947883118076056
0.0277041959665704,10.4690239815201,19.2928,0.949663081106989,0.0277041959665704,7.50971573309134,19.9984691665534,0.949486386838544
0.0277049775474835,10.4690239815201,19.2928,0.951264959227867,0.0277049775474835,7.50971573309134,19.9984691665534,0.951088403006335
0.0277057591283965,10.4690239815201,19.2928,0.952865585840522,0.0277057591283965,7.50971573309134,19.9984691665534,0.952689167558051
0.0277065407093096,10.4690239815201,19.2928,0.954464961922726,0.0277065407093096,7.50971573309134,19.9984691665534,0.954288681471547
0.0277073222902226,10.4690239815201,19.2928,0.956063088451489,0.0277073222902226,7.50971573309134,19.9984691665534,0.955886945723918
0.0277081038711356,10.4690239815201,19.2928,0.957659966403057,0.0277081038711356,7.50971573309134,19.9984691665534,0.957483961291493
0.0277088854520487,10.4690239815201,19.2928,0.95925559675291,0.0277088854520487,7.50971573309134,19.9984691665534,0.959079729149838
0.0277096670329617,10.4690239815201,19.2928,0.960849980475772,0.0277096670329617,7.50971573309134,19.9984691665534,0.96067425027376
0.0277104486138747,10.4690239815201,19.2928,0.962443118545601,0.0277104486138747,7.50971573309134,19.9984691665534,0.9622675256373
0.0277112301947878,10.4690239815201,19.2928,0.964035011935594,0.0277112301947878,7.50971573309134,19.9984691665534,0.963859556213741
0.0277120117757008,10.4690239815201,19.2928,0.965625661618191,0.0277120117757008,7.50971573309134,19.9984691665534,0.965450342975605
0.0277127933566139,10.4690239815201,19.2928,0.967215068565069,0.0277127933566139,7.50971573309134,19.9984691665534,0.967039886894653
0.0277135749375269,10.4690239815201,19.2928,0.968803233747148,0.0277135749375269,7.50971573309134,19.9984691665534,0.968628188941889
0.0277143565184399,10.4690239815201,19.2928,0.970390158134587,0.0277143565184399,7.50971573309134,19.9984691665534,0.970215250087556
0.027715138099353,10.4690239815201,19.2928,0.971975842696789,0.027715138099353,7.50971573309134,19.9984691665534,0.971801071301141
0.027715919680266,10.4690239815201,19.2928,0.9735602884024,0.027715919680266,7.50971573309134,19.9984691665534,0.973385653551372
