cycle,time_s,normalized_error,vc1_v,vc2_v,il_a
47255,13.51493,0.00013678882266928,9.92414645597869,19.2902983395011,0.982298855866252
47401,13.556686,0.000127261708702008,9.9248474704751,19.2902719269477,0.982300428598648
47546,13.598156,0.000142962281760861,9.9255031003653,19.2904348419532,0.982301892240104
47693,13.640198,0.000171150837180106,9.92607833229311,19.290771742803,0.982303168883446
47839,13.681954,0.000198074002304014,9.92652127731886,19.2912449270352,0.98230414365209
47987,13.724282,0.000216748942999163,9.92681117667281,19.2918229288086,0.982304771223156
48134,13.766324,0.000223295533566372,9.92692540365635,19.292446928049,0.982305003145745
48282,13.808652,0.000216916960282233,9.92686426485469,19.2930750284999,0.982304841730715
48431,13.851266,0.000198418327632589,9.92663674066176,19.293658282301,0.982304309009274
48580,13.89388,0.000170700064771711,9.92626772095367,19.2941489302986,0.982303462636408
48729,13.936494,0.000138811532427462,9.92579224536088,19.2945126547735,0.982302382502499
48879,13.979394,0.00011088993574674,9.9252484042152,19.2947274617833,0.982301154860202
49030,14.02258,9.90134935862113e-05,9.92468132366612,19.2947799161389,0.982299881405173
49181,14.065766,0.000108999788375988,9.92414085426874,19.2946711232708,0.982298673861968
49332,14.108952,0.000131024759864766,9.92366920012922,19.2944169563038,0.982297626239181
49484,14.152424,0.000153255594185449,9.92329914260659,19.2940414658616,0.982296811102271
49636,14.195896,0.000168684228801441,9.92305948963631,19.2935817606533,0.982296291602083
49789,14.239654,0.000174212334471779,9.92296377462978,19.2930756198275,0.982296096617251
49942,14.283412,0.000168899462219576,9.92301536410184,19.2925694800325,0.982296231896251
50096,14.327456,0.000153549539728857,9.92320503665412,19.2921022168861,0.982296675257829
50250,14.3715,0.000130744965914434,9.92351087021777,19.2917142625977,0.982297375984885
50404,14.415544,0.000105030959832563,9.92390210558193,19.2914344036032,0.982298263998287
50559,14.459874,8.38531233678097e-05,9.92434518010768,19.2912805485078,0.982299263354994
50715,14.50449,7.75414841872369e-05,9.92480097530808,19.2912623862825,0.982300285973992
50871,14.549106,8.85827295633238e-05,9.92522729338132,19.2913766257296,0.98230123737327
51028,14.594008,0.000107184817071611,9.9255910477235,19.2916092444467,0.982302043914408
51185,14.63891,0.000123920791020132,9.92586086131561,19.2919343389394,0.982302636252343
51342,14.683812,0.000133973102243372,9.92601767676554,19.292319486395,0.98230297291585
51500,14.729,0.000135371905819144,9.926052940736,19.2927311550372,0.982303036027281
51659,14.774474,0.000127812996489745,9.92596697473086,19.2931322145309,0.982302827746258
51817,14.819662,0.000112724265936712,9.92577399199517,19.2934830814471,0.982302381473431
51977,14.865422,9.26236350538642e-05,9.9254917641418,19.2937606690885,0.982301737948233
52137,14.911182,7.26810186451378e-05,9.92515156199237,19.2939388609309,0.982300968293397
52297,14.956942,6.09345966524178e-05,9.92478669487258,19.294006290722,0.982300147630505
52458,15.002988,6.4088645817408e-05,9.92442900470587,19.2939614721955,0.982299347408307
52620,15.04932,7.76510588338533e-05,9.92411107238162,19.2938118262685,0.982298640387196
52781,15.095366,9.2242476646223e-05,9.92386376213713,19.2935777165944,0.982298094977217
52944,15.141984,0.000102585892673673,9.92370285820346,19.29327994423,0.982297745761351
53107,15.188602,0.000106035522316958,9.92364262534913,19.2929516211422,0.982297623438825
53270,15.23522,0.000102014369739424,9.9236838771649,19.2926248244614,0.982297728590762
53434,15.282124,9.12231060776266e-05,9.92381900148546,19.2923283045266,0.982298043036243
53599,15.329314,7.56534796810179e-05,9.92403227239447,19.2920893136019,0.982298530460966
53763,15.376218,5.92683948467468e-05,9.92429730019558,19.2919304447497,0.98229913082246
53929,15.423694,4.81946518067388e-05,9.92459119188452,19.2918610028075,0.982299792432922
54095,15.47117,4.918219890709e-05,9.92488132478687,19.291885690081,0.982300441968501
54261,15.518646,5.95436335164479e-05,9.92513983948543,19.2919975483086,0.982301017236649
54428,15.566408,7.14545046831667e-05,9.92534430631522,19.2921828181722,0.982301468482128
54596,15.614456,7.99313920860157e-05,9.92547631707441,19.2924209144653,0.98230175523052
54764,15.662504,8.27242417502707e-05,9.92552502698193,19.2926848186587,0.98230185421426
54932,15.710552,7.93326463553731e-05,9.92548971013933,19.2929471502377,0.982301764866841
55101,15.758886,7.03883127363443e-05,9.92537712323492,19.2931832993265,0.982301503290719
55271,15.807506,5.76696739344441e-05,9.92520113933076,19.2933703233284,0.982301101479004
55441,15.856126,4.46477004383268e-05,9.92498315656343,19.2934902958705,0.982300608102014
55611,15.904746,3.70240092378594e-05,9.9247473368634,19.2935344013727,0.982300077673586
55782,15.953652,3.95582562512527e-05,9.9245171681318,19.2935015382124,0.982299562897436
55954,16.002844,4.86504900624113e-05,9.92431619554274,19.2933976723851,0.982299116331817
56126,16.052036,5.77959432440918e-05,9.92416509440475,19.2932371049761,0.982298783777621
56299,16.101514,6.34724135474411e-05,9.92407669989636,19.2930381077871,0.982298593303918
56472,16.150992,6.42184082832641e-05,9.92405809165678,19.2928242221477,0.98229855987138
56646,16.200756,5.98977273813559e-05,9.92410816190781,19.2926174925241,0.982298680142095
56820,16.25052,5.14133252477799e-05,9.92421840834468,19.2924406178619,0.982298934173896
56995,16.30057,4.06928547843655e-05,9.92437507796368,19.2923102401711,0.982299290486996
57170,16.35062,3.14148462375235e-05,9.92455855875693,19.2922390190512,0.982299704619753
57346,16.400956,2.88324649329302e-05,9.92474887302574,19.2922317014905,0.98230013159724
57523,16.451578,3.41320133779599e-05,9.92492502006736,19.2922868220412,0.982300524391638
57700,16.5022,4.19516394662844e-05,9.92506740101301,19.2923953270963,0.982300839412146
57877,16.552822,4.79863460487868e-05,9.92516215955069,19.292542566161,0.982301046159939
58055,16.60373,5.03512962191664e-05,9.92520143233621,19.2927113715333,0.982301127670259
58234,16.654924,4.84712028657994e-05,9.92518284830077,19.2928821404069,0.982301079386661
58413,16.706118,4.2767760173789e-05,9.92511114993372,19.2930347812356,0.982300912720584
58593,16.757598,3.45221727127168e-05,9.92499641604375,19.2931536846402,0.982300650874074
58773,16.809078,2.6306300603813e-05,9.92485414645725,19.2932262871574,0.982300329085337
58954,16.860844,2.23386199059636e-05,9.92470105905181,19.2932467672773,0.982299985062256
